source,item,status,mapping,decision,notes
XiaoMaColtAI/math-modeling-skill@e5d9313,SKILL.md / 三阶段总路由,TRANSFORMED,SKILL.md + registry.yaml,吸收,改为事件驱动 Router；阶段/时间权交给 Coach
XiaoMaColtAI/math-modeling-skill@e5d9313,references/roles/建模手/SKILL.md,FULL,roles/modeling + problem/* + modeling/*,吸收,保留题意/数据/候选/验证设计；取消硬 M1 阻断
XiaoMaColtAI/math-modeling-skill@e5d9313,建模手/references/前置合同.md,FULL,skills/modeling/model-contract,吸收,以可执行 model contract 重构
XiaoMaColtAI/math-modeling-skill@e5d9313,建模手/references/工作流程.md,TRANSFORMED,problem/* + modeling/*,吸收,拆为事件，不保留阶段顺序
XiaoMaColtAI/math-modeling-skill@e5d9313,建模手/references/常见模式.md,FULL,model-selection + references/model-composition-patterns.md + algorithm/*,择优吸收,v0.1.7 改写为结构信号→候选组合→证据→失效条件，删除题型到固定算法硬映射
XiaoMaColtAI/math-modeling-skill@e5d9313,建模手/references/建模设计理论.md,FULL,model-selection + model-comparison + model-challenge,吸收,补了 Baseline、失败模式、简化/替换/消融
XiaoMaColtAI/math-modeling-skill@e5d9313,建模手/references/质检清单.md,FULL,audit/model-review,吸收,证据化 reviewer，不用阶段硬门禁
XiaoMaColtAI/math-modeling-skill@e5d9313,references/roles/编程手/SKILL.md,FULL,roles/coding + coding/* + experiment/*,吸收,MVP/复现/数值检查被拆成专项能力
XiaoMaColtAI/math-modeling-skill@e5d9313,编程手/references/工作流程.md,TRANSFORMED,implementation + mvp-check + result-review,吸收,先 MVP 再扩展保留；是否扩展由 Coach 可覆盖
XiaoMaColtAI/math-modeling-skill@e5d9313,编程手/references/MATLAB规范.md,FULL,roles/coding/references/matlab-implementation.md + check_matlab_env.m + reproducibility,择优吸收,v0.1.7 MATLAB 一等后端：feature-scoped 工具箱、solver/数值/复现/Figure parity
XiaoMaColtAI/math-modeling-skill@e5d9313,编程手/references/质检清单.md,FULL,audit/mvp-check + result-review + numerical-check,吸收,强调复现、约束、单位、Final Run
